city,datetime,temp,humidity,pressure,wind_speed,wind_bearing,visibility,clouds,lat,lon
Ca Mau,2026-03-22 12:00:00,26.46,69,1010,3.22,124,10000,33,9.1769,105.15
Ca Mau,2026-03-22 15:00:00,25.27,75,1012,1.36,111,10000,1,9.1769,105.15
Ca Mau,2026-03-22 18:00:00,24.46,83,1010,1.18,87,10000,0,9.1769,105.15
Ca Mau,2026-03-22 21:00:00,24.02,88,1009,1.24,66,10000,3,9.1769,105.15
Ca Mau,2026-03-23 00:00:00,25.56,75,1012,1.94,94,10000,4,9.1769,105.15
Ca Mau,2026-03-23 03:00:00,32.27,41,1012,4.82,97,10000,2,9.1769,105.15
Ca Mau,2026-03-23 06:00:00,34.64,36,1009,6.2,108,10000,9,9.1769,105.15
Ca Mau,2026-03-23 09:00:00,31.32,51,1007,3.45,102,10000,74,9.1769,105.15
Ca Mau,2026-03-23 12:00:00,27.08,71,1010,3.05,127,10000,69,9.1769,105.15
Ha Long,2026-03-18 15:00:00,20.65,92,1015,0.38,95,10000,6,20.9511,107.08
Ha Long,2026-03-18 18:00:00,20.46,92,1014,1.02,33,10000,5,20.9511,107.08
Ha Long,2026-03-18 21:00:00,20.06,90,1013,0.95,13,10000,2,20.9511,107.08
Ha Long,2026-03-19 00:00:00,21.03,82,1015,0.98,98,10000,11,20.9511,107.08
Ha Long,2026-03-19 03:00:00,24.49,67,1015,2.53,130,10000,84,20.9511,107.08
Ha Long,2026-03-19 06:00:00,24.19,67,1013,2.56,144,10000,93,20.9511,107.08
